INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=9328;StartDate=2017.01.13,20:20;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2020_faLog.txt
INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=9328;StartDate=2017.01.13,20:20;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2020_faLog.txt
EXIT PlayerName=[2IG] Otto1;PlayerTeam=1;VehicleName=type99_emp_bipod;VehicleTime=38.0;Time=211
SCORE ScoreDiff=1;PlayerName=7USMC -Kwiot-;PlayerTeam=2;PlayerKit=UP_RifleAssault;PlayerVehicle=lvt-4;PlayerPos=-26.196,65.119,39.629;Time=215;Scoretype=kills
SCORE ScoreDiff=2;PlayerName=7USMC michaelau999;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=lvt-4;PlayerPos=-26.196,65.119,39.629;Time=215;Scoretype=Unknown
KILL;AttackerName=7USMC -Kwiot-;AttackerTeam=2;AttackerPos=-26.196,65.119,39.629;VictimName=2IG|15 Ephiriel;VictimTeam=1;VictimPos=-25.214,70.190,-26.675;VictimKit=jp_Scout;VictimVehicle=jp_rilfe_khaki;AttackerKit=UP_RifleAssault;AttackerVehicle=lvt-4;AttackerWeapon=Coaxial_Cal30_Main;Time=215
EXIT PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=12.0;Time=216
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;Time=216
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=220
ENTER PlayerName=2IG|18 GGarrido;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=221
SCORE ScoreDiff=1;PlayerName=[F|H] SturmFlim13;PlayerTeam=1;PlayerKit=JP_LMG_Limited;PlayerVehicle=75mmdp;PlayerPos=42.977,66.040,-39.683;Time=226;Scoretype=kills
KILL;AttackerName=[F|H] SturmFlim13;AttackerTeam=1;AttackerPos=42.977,66.040,-39.683;VictimName=7USMC michaelau999;VictimTeam=2;VictimPos=-28.764,65.119,23.886;VictimKit=UP_Scout;VictimVehicle=lvt-4;AttackerKit=JP_LMG_Limited;AttackerVehicle=75mmdp;AttackerWeapon=75mmDP_cannon;Time=226
EXIT PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=100.9;Time=226
SCORE ScoreDiff=1;PlayerName=[F|H] SturmFlim13;PlayerTeam=1;PlayerKit=JP_LMG_Limited;PlayerVehicle=75mmdp;PlayerPos=42.977,66.040,-39.683;Time=226;Scoretype=kills
KILL;AttackerName=[F|H] SturmFlim13;AttackerTeam=1;AttackerPos=42.977,66.040,-39.683;VictimName=7USMC -Kwiot-;VictimTeam=2;VictimPos=-28.764,65.119,23.886;VictimKit=UP_RifleAssault;VictimVehicle=lvt-4;AttackerKit=JP_LMG_Limited;AttackerVehicle=75mmdp;AttackerWeapon=75mmDP_cannon;Time=226
EXIT PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=83.3;Time=226
EXIT PlayerName=2IG|18 GGarrido;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=9.6;Time=230
ENTER PlayerName=2IG|18 GGarrido;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=234
SCORE ScoreDiff=-1;PlayerName=5|USMC pr0z4c;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=up_cpl;PlayerPos=-166.187,64.800,-65.632;Time=235;Scoretype=suicides
KILL;AttackerName=5|USMC pr0z4c;AttackerTeam=2;AttackerPos=-166.187,64.800,-65.632;VictimName=5|USMC pr0z4c;VictimTeam=2;VictimPos=-166.187,64.800,-65.632;VictimKit=UP_Scout;VictimVehicle=up_cpl;AttackerKit=UP_Scout;AttackerVehicle=up_cpl;Time=235
EXIT PlayerName=2IG|18 GGarrido;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=1.6;Time=235
ENTER PlayerName=2IG|18 GGarrido;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=237
ENTER PlayerName=2IG|15 Ephiriel;PlayerTeam=1;VehicleName=75mmdp;Time=241
SCORE ScoreDiff=1;PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;PlayerKit=UP_Engineer;PlayerVehicle=hellcat;PlayerPos=-2.062,271.130,-65.428;Time=241;Scoretype=kills
KILL;AttackerName=5|USMC GENERAL_HUN;AttackerTeam=2;AttackerPos=-2.062,271.130,-65.428;VictimName=2IG|15 BamBam_55;VictimTeam=1;VictimPos=40.609,289.287,-83.120;VictimKit=jp_RifleAssault;VictimVehicle=a6m_zero;AttackerKit=UP_Engineer;AttackerVehicle=hellcat;AttackerWeapon=hellcat_50cals;Time=241
EXIT PlayerName=2IG|15 BamBam_55;PlayerTeam=1;VehicleName=a6m_zero;VehicleTime=118.8;Time=241
ENTER PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;Time=246
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lvt-4;Time=246
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lvt-4;Time=250
ENTER PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=8inch_defgun;Time=251
EXIT PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;VehicleTime=85.8;Time=252
SCORE ScoreDiff=1;PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;PlayerKit=UP_Engineer;PlayerVehicle=hellcat;PlayerPos=-29.749,118.607,-85.848;Time=253;Scoretype=kills
KILL;AttackerName=5|USMC GENERAL_HUN;AttackerTeam=2;AttackerPos=-29.749,118.607,-85.848;VictimName=2IG|15 knokworst;VictimTeam=1;VictimPos=-42.991,68.471,-97.313;VictimKit=JP_Antitank_turtlemine;VictimVehicle=fh1_25mmaa;AttackerKit=UP_Engineer;AttackerVehicle=hellcat;AttackerWeapon=hellcat_50cals;Time=253
EXIT PlayerName=2IG|15 knokworst;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=120.1;Time=253
CAPTURE ControlPointID=2;CaptureType=neutral;CaptureTeam=1;CapturePointPos=-44.384,66.389,-104.737;Time=255
CAPTURE ControlPointID=104;CaptureType=neutral;CaptureTeam=1;CapturePointPos=252.391,-56.337,-262.714;Time=255
EXIT PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=133.4;Time=258
EXIT PlayerName=2IG|15 GABBOTTO;PlayerTeam=1;VehicleName=type99_emp_bipod;VehicleTime=82.6;Time=259
SCORE ScoreDiff=-4;PlayerName=H|USMC florianmehne;PlayerTeam=2;PlayerKit=UP_Scout;PlayerVehicle=lvt-4;PlayerPos=4.364,65.123,42.282;Time=259;Scoretype=TKs
KILL;AttackerName=H|USMC florianmehne;AttackerTeam=2;AttackerPos=4.364,65.123,42.282;VictimName=7|USMC Spieler4;VictimTeam=2;VictimPos=4.106,65.330,41.987;VictimKit=UP_RifleAssault;VictimVehicle=up_pvt;AttackerKit=UP_Scout;AttackerVehicle=lvt-4;Time=259
SCORE ScoreDiff=1;PlayerName=[F|H] SturmFlim13;PlayerTeam=1;PlayerKit=JP_LMG_Limited;PlayerVehicle=75mmdp;PlayerPos=42.977,66.040,-39.683;Time=261;Scoretype=kills
KILL;AttackerName=[F|H] SturmFlim13;AttackerTeam=1;AttackerPos=42.977,66.040,-39.683;VictimName=H|USMC florianmehne;VictimTeam=2;VictimPos=2.895,65.119,41.506;VictimKit=UP_Scout;VictimVehicle=lvt-4;AttackerKit=JP_LMG_Limited;AttackerVehicle=75mmdp;AttackerWeapon=75mmDP_cannon;Time=261
EXIT PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=140.8;Time=261
SCORE ScoreDiff=1;PlayerName=[F|H] SturmFlim13;PlayerTeam=1;PlayerKit=JP_LMG_Limited;PlayerVehicle=75mmdp;PlayerPos=42.977,66.040,-39.683;Time=261;Scoretype=kills
KILL;AttackerName=[F|H] SturmFlim13;AttackerTeam=1;AttackerPos=42.977,66.040,-39.683;VictimName=7|USMC Spindrifter49;VictimTeam=2;VictimPos=2.895,65.119,41.506;VictimKit=UP_NCO_rifle;VictimVehicle=lvt-4;AttackerKit=JP_LMG_Limited;AttackerVehicle=75mmdp;AttackerWeapon=75mmDP_cannon;Time=261
EXIT PlayerName=7|USMC Spindrifter49;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=109.5;Time=261
ENTER PlayerName=[2IG] Otto1;PlayerTeam=1;VehicleName=75mmdp;Time=264
ENTER PlayerName=2IG|15 GABBOTTO;PlayerTeam=1;VehicleName=type99_emp_bipod;Time=266
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=267
SCORE ScoreDiff=1;PlayerName=2IG|15 papa@FH2;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=fh1_25mmaa;PlayerPos=-42.991,68.471,-97.313;Time=273;Scoretype=kills
KILL;AttackerName=2IG|15 papa@FH2;AttackerTeam=1;AttackerPos=-42.991,68.471,-97.313;VictimName= 5[1USMC]truth_HUN;VictimTeam=2;VictimPos=-108.540,65.119,-33.624;VictimKit=UP_Scout;VictimVehicle=lvt-4;AttackerKit=JP_Engineer_type93;AttackerVehicle=fh1_25mmaa;AttackerWeapon=fh1_25mmaa_barrel1;Time=273
EXIT PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=56.8;Time=273
ENTER PlayerName=7|USMC Spindrifter49;PlayerTeam=2;VehicleName=lvt-4;Time=274
SCORE ScoreDiff=1;PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;PlayerKit=UP_Engineer;PlayerVehicle=hellcat;PlayerPos=-79.881,151.866,-114.378;Time=275;Scoretype=kills
KILL;AttackerName=5|USMC GENERAL_HUN;AttackerTeam=2;AttackerPos=-79.881,151.866,-114.378;VictimName=2IG|15 papa@FH2;VictimTeam=1;VictimPos=-42.991,68.471,-97.313;VictimKit=JP_Engineer_type93;VictimVehicle=fh1_25mmaa;AttackerKit=UP_Engineer;AttackerVehicle=hellcat;AttackerWeapon=hellcat_50cals;Time=275
EXIT PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=fh1_25mmaa;VehicleTime=7.5;Time=275
CAPTURE ControlPointID=104;CaptureType=neutral;CaptureTeam=1;CapturePointPos=252.391,-56.337,-262.714;Time=275
SCORE ScoreDiff=1;PlayerName=[2IG] Otto1;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=75mmdp;PlayerPos=-33.085,66.875,-47.362;Time=276;Scoretype=kills
SCORE ScoreDiff=2;PlayerName=2IG|15 papa@FH2;PlayerTeam=1;PlayerKit=Unknown;PlayerVehicle=MultiPlayerFreeCamera;PlayerPos=-42.991,68.471,-97.313;Time=276;Scoretype=damageAssists
KILL;AttackerName=[2IG] Otto1;AttackerTeam=1;AttackerPos=-33.085,66.875,-47.362;VictimName=5|USMC RedYuri;VictimTeam=2;VictimPos=-104.528,65.118,-35.809;VictimKit=UP_NCO;VictimVehicle=lvt-4;AttackerKit=JP_Engineer_type93;AttackerVehicle=75mmdp;AttackerWeapon=75mmDP_cannon;Time=276
EXIT PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=72.4;Time=276
SCORE ScoreDiff=1;PlayerName=[2IG] Otto1;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=75mmdp;PlayerPos=-33.085,66.875,-47.362;Time=276;Scoretype=kills
SCORE ScoreDiff=2;PlayerName=2IG|15 papa@FH2;PlayerTeam=1;PlayerKit=Unknown;PlayerVehicle=MultiPlayerFreeCamera;PlayerPos=-42.991,68.471,-97.313;Time=276;Scoretype=damageAssists
KILL;AttackerName=[2IG] Otto1;AttackerTeam=1;AttackerPos=-33.085,66.875,-47.362;VictimName=7|USMC Spindrifter49;VictimTeam=2;VictimPos=-104.528,65.118,-35.809;VictimKit=UP_NCO_rifle;VictimVehicle=lvt-4;AttackerKit=JP_Engineer_type93;AttackerVehicle=75mmdp;AttackerWeapon=75mmDP_cannon;Time=276
EXIT PlayerName=7|USMC Spindrifter49;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=2.4;Time=276
ENTER PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lvt-4;Time=280
EXIT PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=32.5;Time=283
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lvt-4;Time=283
ENTER PlayerName=2IG|15 [F|H]RAnDOOm;PlayerTeam=1;VehicleName=type99_emp_bipod;Time=284
EXIT PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=1.1;Time=284
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lvt-4;Time=284
EXIT PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=0.8;Time=285
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lvt-4;Time=285
EXIT PlayerName=2IG|15 [F|H]RAnDOOm;PlayerTeam=1;VehicleName=type99_emp_bipod;VehicleTime=2.9;Time=286
EXIT PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;VehicleTime=41.5;Time=287
ENTER PlayerName=7|USMC Spindrifter49;PlayerTeam=2;VehicleName=lvt-4;Time=288
EXIT PlayerName=2IG|15 GABBOTTO;PlayerTeam=1;VehicleName=type99_emp_bipod;VehicleTime=24.0;Time=290
ENTER PlayerName=2IG|15 [F|H]RAnDOOm;PlayerTeam=1;VehicleName=type99_emp_bipod;Time=292
ENTER PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=dauntlesssbdtorch;Time=294
ENTER PlayerName=2IG|15 GABBOTTO;PlayerTeam=1;VehicleName=type99_emp_bipod;Time=297
EXIT PlayerName=2IG|15 [F|H]RAnDOOm;PlayerTeam=1;VehicleName=type99_emp_bipod;VehicleTime=6.5;Time=298
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;Time=299
SCORE ScoreDiff=1;PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;PlayerKit=UP_Engineer;PlayerVehicle=hellcat;PlayerPos=1.614,83.636,-36.152;Time=301;Scoretype=kills
KILL;AttackerName=5|USMC GENERAL_HUN;AttackerTeam=2;AttackerPos=1.614,83.636,-36.152;VictimName=2IG|15 Xant;VictimTeam=1;VictimPos=-25.827,68.474,-26.095;VictimKit=JP_Engineer_type93;VictimVehicle=8inch_defgun;AttackerKit=UP_Engineer;AttackerVehicle=hellcat;AttackerWeapon=hellcat_50cals;Time=301
EXIT PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=8inch_defgun;VehicleTime=49.6;Time=301
ENTER PlayerName=2IG|15 BamBam_55;PlayerTeam=1;VehicleName=a6m_zero;Time=301
ENTER PlayerName=2IG|15 [F|H]RAnDOOm;PlayerTeam=1;VehicleName=type99_emp_bipod;Time=302
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;Time=302
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=83.9;Time=304
EXIT PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=3.0;Time=305
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;Time=305
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=306
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lvt-4;Time=307
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=1.7;Time=308
ENTER PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;Time=312
ENTER PlayerName=2IG|18 R4yderPSG;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=313
EXIT PlayerName=7|USMC Spindrifter49;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=26.1;Time=314
EXIT PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=34.0;Time=314
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=316
SCORE ScoreDiff=4;PlayerName=2IG|15 The_Spine;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=8inch_defgun;PlayerPos=-53.494,68.222,-102.592;Time=316;Scoretype=kills
KILL;AttackerName=2IG|15 The_Spine;AttackerTeam=1;AttackerPos=-53.494,68.222,-102.592;VictimName=5|USMC pr0z4c;VictimTeam=2;VictimPos=-148.412,64.985,-126.920;VictimKit=UP_Scout;VictimVehicle=lcvp;AttackerKit=JP_Engineer_type93;AttackerVehicle=8inch_defgun;AttackerWeapon=8inch_defgun_barrel;Time=316
EXIT PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=lcvp;VehicleTime=4.7;Time=316
ENTER PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;Time=317
ENTER PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lvt-4;Time=317
EXIT PlayerName=7|USMC Spieler4;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=1.4;Time=319
EXIT PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=3.1;Time=319
EXIT PlayerName=7USMC -Kwiot-;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=2.0;Time=319
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lvt-4;Time=323
SCORE ScoreDiff=3;PlayerName=2IG|15 Ephiriel;PlayerTeam=1;PlayerKit=JP_Engineer_type93;PlayerVehicle=75mmdp;PlayerPos=-7.276,65.576,-48.829;Time=323;Scoretype=kills
